curve_id,x,y
fl-4.0-structure-110,14.0,57.0
fl-4.0-structure-110,15.0,59.0
fl-4.0-structure-110,16.0,61.0
fl-4.0-structure-110,17.0,63.0
fl-4.0-structure-110,18.0,65.0
fl-4.0-structure-110,19.0,67.0
fl-4.0-structure-110,20.0,69.0
fl-4.0-structure-110,21.0,71.0
fl-4.0-structure-110,22.0,73.0
fl-4.0-structure-110,23.0,75.0
fl-4.0-structure-110,24.0,77.0
fl-4.0-structure-111,-4.0,0.0
fl-4.0-structure-111,-3.0,0.0
fl-4.0-structure-111,-2.0,0.0
fl-4.0-structure-111,-1.0,0.0
fl-4.0-structure-111,0.0,3.0
fl-4.0-structure-111,1.0,9.0
fl-4.0-structure-111,2.0,13.0
fl-4.0-structure-111,3.0,25.0
fl-4.0-structure-111,4.0,27.0
fl-4.0-structure-111,5.0,28.0
fl-4.0-structure-111,6.0,33.0
fl-4.0-structure-111,7.0,34.0
fl-4.0-structure-111,8.0,41.0
fl-4.0-structure-111,9.0,43.0
fl-4.0-structure-111,10.0,45.0
fl-4.0-structure-111,11.0,46.0
fl-4.0-structure-111,12.0,47.0
fl-4.0-structure-111,13.0,48.0
fl-4.0-structure-111,14.0,49.0
fl-4.0-structure-111,15.0,50.0
fl-4.0-structure-111,16.0,51.0
fl-4.0-structure-111,17.0,52.0
fl-4.0-structure-111,18.0,53.0
fl-4.0-structure-111,19.0,54.0
fl-4.0-structure-111,20.0,55.0
fl-4.0-structure-111,21.0,56.0
fl-4.0-structure-111,22.0,57.0
fl-4.0-structure-111,23.0,58.0
fl-4.0-structure-111,24.0,59.0
fl-4.0-structure-112,-4.0,6.0
fl-4.0-structure-112,-3.0,6.0
fl-4.0-structure-112,-2.0,9.0
fl-4.0-structure-112,-1.0,14.0
fl-4.0-structure-112,0.0,15.0
fl-4.0-structure-112,1.0,24.0
fl-4.0-structure-112,2.0,27.0
fl-4.0-structure-112,3.0,30.0
fl-4.0-structure-112,4.0,35.0
fl-4.0-structure-112,5.0,40.0
fl-4.0-structure-112,6.0,43.0
fl-4.0-structure-112,7.0,44.0
fl-4.0-structure-112,8.0,52.0
fl-4.0-structure-112,9.0,56.0
fl-4.0-structure-112,10.0,58.0
fl-4.0-structure-112,11.0,60.0
fl-4.0-structure-112,12.0,62.0
fl-4.0-structure-112,13.0,64.0
fl-4.0-structure-112,14.0,66.0
fl-4.0-structure-112,15.0,68.0
fl-4.0-structure-112,16.0,70.0
fl-4.0-structure-112,17.0,72.0
fl-4.0-structure-112,18.0,74.0
fl-4.0-structure-112,19.0,76.0
fl-4.0-structure-112,20.0,78.0
fl-4.0-structure-112,21.0,81.0
fl-4.0-structure-112,22.0,83.0
fl-4.0-structure-112,23.0,85.0
fl-4.0-structure-112,24.0,87.0
fl-4.0-structure-113,-4.0,0.0
fl-4.0-structure-113,-3.0,0.0
fl-4.0-structure-113,-2.0,0.0
fl-4.0-structure-113,-1.0,0.0
fl-4.0-structure-113,0.0,8.0
fl-4.0-structure-113,1.0,10.0
fl-4.0-structure-113,2.0,14.0
fl-4.0-structure-113,3.0,26.0
fl-4.0-structure-113,4.0,28.0
fl-4.0-structure-113,5.0,29.0
fl-4.0-structure-113,6.0,41.0
fl-4.0-structure-113,7.0,43.0
fl-4.0-structure-113,8.0,44.0
fl-4.0-structure-113,9.0,45.0
fl-4.0-structure-113,10.0,46.0
fl-4.0-structure-113,11.0,47.0
fl-4.0-structure-113,12.0,48.0
fl-4.0-structure-113,13.0,49.0
fl-4.0-structure-113,14.0,50.0
fl-4.0-structure-113,15.0,51.0
fl-4.0-structure-113,16.0,52.0
fl-4.0-structure-113,17.0,53.0
fl-4.0-structure-113,18.0,54.0
fl-4.0-structure-113,19.0,55.0
fl-4.0-structure-113,20.0,56.0
fl-4.0-structure-113,21.0,57.0
fl-4.0-structure-113,22.0,58.0
fl-4.0-structure-113,23.0,59.0
fl-4.0-structure-113,24.0,60.0
fl-4.0-structure-114,-4.0,7.0
fl-4.0-structure-114,-3.0,7.0
fl-4.0-structure-114,-2.0,10.0
fl-4.0-structure-114,-1.0,14.0
fl-4.0-structure-114,0.0,17.0
fl-4.0-structure-114,1.0,21.0
fl-4.0-structure-114,2.0,29.0
fl-4.0-structure-114,3.0,34.0
fl-4.0-structure-114,4.0,38.0
fl-4.0-structure-114,5.0,43.0
fl-4.0-structure-114,6.0,47.0
fl-4.0-structure-114,7.0,52.0
