curve_id,key,value
fl-6.1-structure-892,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-893,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-894,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-895,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-896,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-897,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-898,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-899,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-900,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-901,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-902,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-903,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-904,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-905,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-906,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-907,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-908,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-909,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-910,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-911,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-912,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-913,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-914,comment,Applies to Milliman FoundationType (2) BasementFinishType 1
fl-6.1-structure-915,comment,Applies to Milliman FoundationType (2) BasementFinishType 2
fl-6.1-structure-968,comment,"Bottom of lowest horizontal member is 1.0 feet below top of floor. For a reinforced or pile foundation, change 75% to 45% at Flood Depth of -1 ft."
fl-6.1-structure-969,comment,Displacement and Loss of Function DDFs adjsuted based on values used for other USACE DDFs.
fl-4.0-contents-88,comment,RES6 default
fl-4.0-contents-442,comment,IND3 default
fl-4.0-contents-485,comment,EDU1 default
fl-4.0-contents-488,comment,RAMPP Inserted
fl-4.0-contents-489,comment,RAMPP Inserted
fl-4.0-contents-490,comment,RAMPP Inserted
fl-4.0-contents-491,comment,RAMPP Inserted
fl-4.0-contents-492,comment,RAMPP Inserted
fl-4.0-contents-493,comment,RAMPP Inserted
fl-4.0-contents-494,comment,RAMPP Inserted
fl-4.0-contents-495,comment,RAMPP Inserted
fl-4.0-contents-496,comment,RAMPP Inserted
fl-4.0-contents-497,comment,RAMPP Inserted
fl-4.0-contents-498,comment,RAMPP Inserted
fl-4.0-contents-499,comment,RAMPP Inserted
fl-4.0-contents-500,comment,RAMPP Inserted
fl-4.0-contents-501,comment,RAMPP Inserted
fl-4.0-contents-502,comment,RAMPP Inserted
fl-4.0-contents-503,comment,RAMPP Inserted
fl-4.0-contents-504,comment,RAMPP Inserted
fl-4.0-contents-505,comment,RAMPP Inserted
fl-4.0-contents-506,comment,RAMPP Inserted
fl-4.0-contents-507,comment,RAMPP Inserted
fl-4.0-contents-508,comment,RAMPP Inserted
fl-4.0-contents-509,comment,RAMPP Inserted
fl-4.0-contents-510,comment,RAMPP Inserted
fl-4.0-contents-511,comment,RAMPP Inserted
fl-4.0-contents-512,comment,RAMPP Inserted
fl-4.0-contents-513,comment,RAMPP Inserted
fl-4.0-contents-514,comment,RAMPP Inserted
fl-4.0-contents-515,comment,RAMPP Inserted
fl-4.0-contents-516,comment,RAMPP Inserted
fl-4.0-contents-517,comment,RAMPP Inserted
fl-4.0-contents-518,comment,RAMPP Inserted
fl-4.0-contents-519,comment,RAMPP Inserted
fl-4.0-contents-520,comment,RAMPP Inserted
fl-4.0-contents-521,comment,RAMPP Inserted
fl-4.0-contents-522,comment,RAMPP Inserted
fl-4.0-contents-523,comment,RAMPP Inserted
